frame,background,x0,y0,intensity,theta,sigmax,sigmay,aspect,z,dbackground,dx0,dy0,dintensity,dtheta,dsigmax,daspect,sum_pixels,peak_Value,ROIx,ROIy
760,3390.15,231.015,221.307,377793,0,1.27887,2.73256,2.1367,9.00E+09,986.012,0.0735755,0.191913,74936.3,0,0.136694,0.266619,466625,20596,7,7
761,2596.93,231.054,220.789,317734,0,1.41837,1.81671,1.28084,9.00E+09,547.67,0.0482987,0.0663793,32544.3,0,0.0797113,0.0690393,418088,22221.8,7,7
762,3443.27,231.114,221.052,387694,0,1.29734,2.84239,2.19093,9.00E+09,1132.93,0.0827646,0.221646,89573.2,0,0.158546,0.317294,470931,20176.2,7,7
763,3704.46,231.129,220.375,389220,0,1.26359,3.35035,2.65145,9.00E+09,1093.63,0.0909466,0.369932,106548,0,0.168987,0.539429,451612,18336.9,7,7
764,3516.97,231.153,220.099,246468,0,1.30836,1.73397,1.3253,9.00E+09,656.909,0.0694986,0.0936517,35399.9,0,0.110674,0.106102,407160,20807.5,7,7
765,4168.23,231.387,219.746,191773,0,1.22894,1.47205,1.19782,9.00E+09,536.989,0.0770226,0.0926203,25538.7,0,0.104849,0.108161,391792,21039.8,7,7
766,4490.03,231.732,219.676,173580,0,1.24013,1.2447,1.00368,9.00E+09,465.119,0.0807701,0.0808398,20407.8,0,0.099626,0.0932695,390770,22387.4,7,7
767,4987.84,232.396,219.648,151687,0,1.1812,1.16971,0.990273,9.00E+09,462.827,0.0868961,0.086039,19121.6,0,0.104951,0.103318,395055,22460.8,7,7
768,4789.77,232.691,219.717,156487,0,1.19628,1.17648,0.983452,9.00E+09,484.194,0.0908041,0.0891499,20230.4,0,0.108981,0.10613,389494,22486,7,7
769,5287.21,232.925,219.737,154377,0,1.20623,1.12212,0.930267,9.00E+09,478.118,0.0893881,0.0831463,19531.7,0,0.107616,0.0976077,412741,23439.6,7,7
770,5337.65,233.031,219.775,153173,0,1.20324,1.08749,0.903796,9.00E+09,479.215,0.090753,0.0820139,19243.5,0,0.107973,0.0964723,414124,23968.1,7,7
771,5108.95,233.095,219.812,163258,0,1.23959,1.14628,0.924725,9.00E+09,479.571,0.0859443,0.0794601,20076.4,0,0.105134,0.090814,412665,23395.3,7,7
772,5149.15,233.099,219.869,169147,0,1.29991,1.11972,0.861378,9.00E+09,465.834,0.0844194,0.0726771,19745,0,0.103337,0.0793225,420226,23644.5,7,7
773,5356.58,233.298,219.596,157817,0,1.19166,1.12052,0.940306,9.00E+09,503.684,0.0921683,0.0866483,20450.6,0,0.110058,0.103098,419398,24167.2,7,7
774,5114.09,233.685,219.741,166437,0,1.24279,1.20344,0.96834,9.00E+09,540.976,0.0980214,0.094663,23334,0,0.119874,0.108781,414756,22825.2,7,7
775,5384.02,234.045,219.946,159183,0,1.25392,1.22286,0.975231,9.00E+09,446.445,0.0804933,0.0784906,19422,0,0.101998,0.0887404,421813,21906.3,7,7
776,5124.96,234.395,220.083,169859,0,1.2983,1.21785,0.938031,9.00E+09,507.16,0.0895142,0.0838403,22447.4,0,0.113265,0.0919314,419058,22222.7,7,7
777,5669.99,234.948,220.36,165460,0,1.44576,1.19475,0.826377,9.00E+09,602.272,0.119192,0.0982747,27914.9,0,0.153728,0.0974303,440416,20915.5,7,7
778,3970.77,235.875,220.948,253207,0,1.72913,1.57684,0.911928,9.00E+09,622.371,0.10493,0.0939147,39361.7,0,0.155625,0.0852854,418560,18751,7,7
779,7724.7,236.207,221.432,119762,0,1.33161,1.32125,0.992219,9.00E+09,971.311,0.240462,0.238895,45466.6,0,0.320141,0.256108,496163,18558.4,7,7
780,7247.75,239.832,218.945,116355,0,1.12571,1.11509,0.990562,9.00E+09,757.828,0.18356,0.181554,29867.8,0,0.212712,0.229155,470521,22000.4,7,7
